Crime ID,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
70c3dbaa6eb0a932657f295e20f479d2fa9baca6c10b8ff3abd48aec229dc0f5,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Suspect charged
dd22e97a07ff7f4f3d8eef1a28d067d612ac23c48fc6ff7c583cf550fb556c20,City of London Police,City of London Police,-0.093257,51.51392,On or near BOW LANE,E01032739,City of London 001F,Suspect charged
c5ff217c931967b5a67d7bf40f4c70a3a9c7dd5a9507db1fb97828aa9f4a0184,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Unable to prosecute suspect
93f6aa5c028d28ecc2c72cb80a7a48705efa4bbb21f2f79b472361e7c38fff23,City of London Police,City of London Police,-0.079283,51.511021,On or near SEETHING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
161c948c3cdc1d287f029fc04f97f715deae1f5c81345d51a7d9b2d9213eeb03,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
6bb923239974585d622cfda4070f479fd09904a954a9a7ab67afd1ce2e5e176e,City of London Police,City of London Police,-0.104621,51.512692,On or near Supermarket,E01032740,City of London 001G,Investigation complete; no suspect identified
ae01ab134bf17a1a76c5140b3a6d0c734aea440fc9d8955295b0dfd5ae005d67,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
cd59cc9562ad217ab800c4eaa87cdfced2588fbf8df9c97005cf2e8bddae1288,City of London Police,City of London Police,-0.08158,51.52051,On or near PINDAR STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
c3a6e4d90d6f6c6fbc25267f305c1b1c7948c8330fe54dc1c1e5ce9c417e2e44,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e03234d78ece8f7af2ce71c7909caec478cab8a92f430f07b3995d2299514671,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4c4009022ce028398244e07203db65350039d16579e055f1d39ed0d93f68521c,City of London Police,City of London Police,-0.079448,51.511554,On or near FENCHURCH PLACE,E01032739,City of London 001F,Offender given a caution
4e42990be7c2f48a31f956bd6c5f107b3bdeacfd993a9e0ce90d9edcf0e84385,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
46d8e52393d2059ef0887815992e6b4a8389fc6be526e95709b1d9669fe34d64,City of London Police,City of London Police,-0.102412,51.517297,On or near COCK LANE,E01032740,City of London 001G,Local resolution
